STUDY,n,mean_EDSS_preRTX,SD.1,mean_EDSS_postRTX,SD.2
"Albassam et al., 2020",12,1.5,0.76,0.67,0.76
"Cobo Calvo et al., 2019",26,3.11,1.83,2.58,1.9
"Durozard et al., 2020",16,2.63,1.91,1.88,1.15
"James et al., 2020",6,3.42,1.63,2,0.89
"Brayo et al., 2019",3,1,0,1,0
"Shu et al., 2019",2,8.25,1.06,2.5,0.71
"Hacohen et al., 2018",9,2.4,1.14,3.2,0.98
"Jarius et al., 2016",9,4.22,1.06,3.5,2.75
"Ramanathan et al., 2018",6,6.08,1.36,2.75,1.81
"Whittam et al., 2020",97,2.833333333,1.111111111,2,1.481481481
"Ciotti et al., 2020",12,3.83,2.07,2.21,1.6
"Jelcic et al., 2019",3,3.166666667,2.020725942,3.666666667,3.175426481
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
