STUDY,n,mean_ARR_preRTX,SD.1,mean_ARR_postRTX,SD.2
"Ciotti et al., 2020",13,1.661538462,1.862139657,0.6,1.509966887
"Brayo et al., 2019",3,0.823333333,0.500632933,0,0
"Jarius et al., 2016",8,2.45,1.955973756,1.055555556,1.379412113
"James et al., 2020",3,1.973333333,1.640162594,0,0
"Ramanathan et al., 2018",5,1.86,1.289088825,0.492,0.531337934
"Whittam et al., 2020",71,2.453333333,2.874074074,0.426666667,0.948148148
"Chen et al., 2020",30,3.8,2.202643172,2.463333333,1.664219285
"Loos et al., 2020",6,0,0,0.04,0.1
"Jelcic et al., 2019",3,4.15,3.3,2.49,3.6
"Inan et al., 2020",6,0.88,1.19,0.94,0.95
