STUDY,n,mean_ARR_preRTX,SD.1,mean_ARR_postRTX,SD.2
"Albassam et al., 2020",12.00,3.05,1.95,0.48,0.54
"Armangue et al., 2020",8.00,0.93,0.55,0.13,0.35
"Brayo et al., 2019",3.00,0.82,0.50,0.00,0.00
"Chen et al., 2020",37.00,1.80,2.25,0.59,1.70
"Ciotti et al., 2020",14.00,1.58,1.82,0.63,1.45
"Cobo Calvo et al., 2019",26.00,1.08,0.98,0.43,0.89
"Durozard et al., 2020",16.00,0.84,0.84,0.46,0.81
"Hacohen et al., 2018",9.00,2.31,2.10,0.76,0.76
"Inan et al., 2020",7.00,0.75,1.14,0.8,0.94
"James et al., 2020",6.00,0.99,1.50,0.00,0.00
"Jarius et al., 2016",9.00,2.21,1.94,0.90,1.37
"Jelcic et al., 2019",3.00,5.91,4.15,3.3,2.49
"Mao et al., 2019",7.00,3.07,2.80,0.16,0.42
"Loos et al., 2020",6.00,0,0,0.04,0.1
"Narayan et al., 2019",2.00,0.75,0.35,0.00,0.00
"Ramanathan et al., 2018",6.00,1.72,1.21,0.45,0.48
"Shu et al., 2019",2.00,0.00,0.00,0.00,0.00
"Whittam et al., 2020",101.00,1.99,1.97,0.42,0.93
"Zhou et al., 2019",8.00,1.78,1.14,0.95,1.03
