STUDY,n,mean_ARR_preRTX,SD.1,mean_ARR_postRTX,SD.2
"Cree et al., 2005",8,2.7,1.47,0.25,0.46
"Capobianco et al., 2007",2,7.5,6.36,1.5,0.71
"Jacob et al., 2008",25,2,1,0.8,0.8
Jarius et al. 2008,4,2.235,0.51,0.6175,0.29
"Bedi et al., 2011",24,2.2975,1.2075,0.3325,0.3325
"Mahmood et al., 2011",2,2.5,0.71,0.5,0.71
"Tosello et al, 2012",2,3.5,0.71,1.5,0.84
"Lindsey et al., 2012",5,3,1.87,1.78,1.6414763
"Pellkofer et al., 2011",10,1.24,0.7,0.93,2.32
"Kim et al.,2011-2013-2015",100,2.4,2,0.1,0.6
"Ayzenberg et al, 2013",3,2.33,0.55,2.77,0.4
"Gredler et al, 2013",6,1,1.15,0.27,0.43
"Ip et al, 2013",7,6.57,5.09,0.44,0.79
"Yang et al, 2013",5,1,0.88,0,0
"Alsharoqi, 2014",2,1,0,0,0
"Musafir, 2014",2,2.5,0.71,0,0
"Weinfurtner et al, 2014",4,2.72,1.65,0.145,0.18
"Torres et al, 2015",32,1.6925,0.7225,0.35,0.225
"Perumal et al., 2015",6,1.46,0.93,0.88,0.61
"Beres et al, 2014",8,4.625,2.475,0.62,0.75
"Longoni et al, 2014",5,1.6,0.89,0.4,0.55
"Mealy et al, 2014",30,2.89,1.15,0.44,0.34
"Zephir et al, 2015",32,3.8,4.3,0.1,0.2
"Radaelli et al., 2015",21,2.1,1.5,0.16,0.25
