"","STUDY","n","mean_ARR_preRTX","SD.1","mean_ARR_postRTX","SD.2","yi","vi","sei","Group"
"1","Albassam et al., 2020",12,3.05,1.95,0.48,0.54,-2.57,0.341175,0.584101874675985,"MOG"
"2","Armangue et al., 2020",8,0.93,0.55,0.13,0.35,-0.8,0.053125,0.230488611432322,"MOG"
"3","Brayo et al., 2019",3,0.82,0.5,0,0,-0.82,0.0833333333333333,0.288675134594813,"MOG"
"4","Chen et al., 2020",37,1.8,2.25,0.59,1.7,-1.21,0.214932432432432,0.463608059067606,"MOG"
"5","Ciotti et al., 2020",14,1.58,1.82,0.63,1.45,-0.95,0.386778571428571,0.621915244570007,"MOG"
"6","Cobo Calvo et al., 2019",26,1.08,0.98,0.43,0.89,-0.65,0.0674038461538461,0.259622507024807,"MOG"
"7","Durozard et al., 2020",16,0.84,0.84,0.46,0.81,-0.38,0.08510625,0.291729755081651,"MOG"
"8","Hacohen et al., 2018",9,2.31,2.1,0.76,0.76,-1.55,0.554177777777778,0.744431177327883,"MOG"
"9","Inan et al., 2020",7,0.75,1.14,0.8,0.94,0.05,0.311885714285714,0.558467290255852,"MOG"
"10","James et al., 2020",6,0.99,1.5,0,0,-0.99,0.375,0.612372435695794,"MOG"
"11","Jarius et al., 2016",9,2.21,1.94,0.9,1.37,-1.31,0.626722222222222,0.791657894688244,"MOG"
"12","Jelcic et al., 2019",3,5.91,4.15,3.3,2.49,-2.61,7.80753333333334,2.79419636628018,"MOG"
"13","Mao et al., 2019",7,3.07,2.8,0.16,0.42,-2.91,1.1452,1.07014017773374,"MOG"
"14","Loos et al., 2020",6,0,0,0.04,0.1,0.04,0.00166666666666667,0.0408248290463863,"MOG"
"15","Narayan et al., 2019",2,0.75,0.35,0,0,-0.75,0.06125,0.247487373415292,"MOG"
"16","Ramanathan et al., 2018",6,1.72,1.21,0.45,0.48,-1.27,0.282416666666667,0.531428891448956,"MOG"
"18","Whittam et al., 2020",101,1.99,1.97,0.42,0.93,-1.57,0.0469881188118812,0.216767430237758,"MOG"
"19","Zhou et al., 2019",8,1.78,1.14,0.95,1.03,-0.83,0.2950625,0.543196557426499,"MOG"
"110","Cree et al., 2005",8,2.7,1.47,0.25,0.46,-2.45,0.2965625,0.544575522769799,"NMOSD"
"25","Capobianco et al., 2007",2,7.5,6.36,1.5,0.71,-6,20.47685,4.52513535709154,"NMOSD"
"31","Jacob et al., 2008",25,2,1,0.8,0.8,-1.2,0.0656,0.256124969497314,"NMOSD"
"41","Jarius et al. 2008",4,2.235,0.51,0.6175,0.29,-1.6175,0.08605,0.293342802877453,"NMOSD"
"51","Bedi et al., 2011",24,2.2975,1.2075,0.3325,0.3325,-1.965,0.0653588541666667,0.255653777923712,"NMOSD"
"61","Mahmood et al., 2011",2,2.5,0.71,0.5,0.71,-2,0.5041,0.71,"NMOSD"
"71","Tosello et al, 2012",2,3.5,0.71,1.5,0.84,-2,0.60485,0.777721029675809,"NMOSD"
"81","Lindsey et al., 2012",5,3,1.87,1.78,1.6414763,-1.22,1.23826888869234,1.11277530916728,"NMOSD"
"91","Pellkofer et al., 2011",10,1.24,0.7,0.93,2.32,-0.31,0.58724,0.766315861769806,"NMOSD"
"101","Kim et al.,2011-2013-2015",100,2.4,2,0.1,0.6,-2.3,0.0436,0.208806130178211,"NMOSD"
"111","Ayzenberg et al, 2013",3,2.33,0.55,2.77,0.4,0.44,0.154166666666667,0.392640632979658,"NMOSD"
"121","Gredler et al, 2013",6,1,1.15,0.27,0.43,-0.73,0.251233333333333,0.501231815962767,"NMOSD"
"131","Ip et al, 2013",7,6.57,5.09,0.44,0.79,-6.13,3.79031428571429,1.94687295058365,"NMOSD"
"141","Yang et al, 2013",5,1,0.88,0,0,-1,0.15488,0.393547964039963,"NMOSD"
"151","Alsharoqi, 2014",2,1,0,0,0,-1,0,0,"NMOSD"
"161","Musafir, 2014",2,2.5,0.71,0,0,-2.5,0.25205,0.502045814642449,"NMOSD"
"17","Weinfurtner et al, 2014",4,2.72,1.65,0.145,0.18,-2.575,0.688725,0.829894571617383,"NMOSD"
"181","Torres et al, 2015",32,1.6925,0.7225,0.35,0.225,-1.3425,0.0178947265625,0.133771172389645,"NMOSD"
"191","Perumal et al., 2015",6,1.46,0.93,0.88,0.61,-0.58,0.206166666666667,0.454055796864952,"NMOSD"
"20","Beres et al, 2014",8,4.625,2.475,0.62,0.75,-4.005,0.836015625,0.914338900517746,"NMOSD"
"21","Longoni et al, 2014",5,1.6,0.89,0.4,0.55,-1.2,0.21892,0.467888875695928,"NMOSD"
"22","Mealy et al, 2014",30,2.89,1.15,0.44,0.34,-2.45,0.0479366666666667,0.218944437396036,"NMOSD"
"23","Zephir et al, 2015",32,3.8,4.3,0.1,0.2,-3.7,0.5790625,0.760961562761221,"NMOSD"
"24","Radaelli et al., 2015",21,2.1,1.5,0.16,0.25,-1.94,0.110119047619048,0.331841901542056,"NMOSD"
