"","STUDY","n","mean_ARR_preRTX","SD.1","mean_ARR_postRTX","SD.2","yi","vi","sei"
"1","Albassam et al., 2020",12,3.05,1.95,0.48,0.54,-2.57,0.341175,0.584101874675985
"2","Armangue et al., 2020",8,0.93,0.55,0.13,0.35,-0.8,0.053125,0.230488611432322
"3","Brayo et al., 2019",3,0.82,0.5,0,0,-0.82,0.0833333333333333,0.288675134594813
"4","Chen et al., 2020",37,1.8,2.25,0.59,1.7,-1.21,0.214932432432432,0.463608059067606
"5","Ciotti et al., 2020",14,1.58,1.82,0.63,1.45,-0.95,0.386778571428571,0.621915244570007
"6","Cobo Calvo et al., 2019",26,1.08,0.98,0.43,0.89,-0.65,0.0674038461538461,0.259622507024807
"7","Durozard et al., 2020",16,0.84,0.84,0.46,0.81,-0.38,0.08510625,0.291729755081651
"8","Hacohen et al., 2018",9,2.31,2.1,0.76,0.76,-1.55,0.554177777777778,0.744431177327883
"9","Inan et al., 2020",7,0.75,1.14,0.8,0.94,0.05,0.311885714285714,0.558467290255852
"10","James et al., 2020",6,0.99,1.5,0,0,-0.99,0.375,0.612372435695794
"11","Jarius et al., 2016",9,2.21,1.94,0.9,1.37,-1.31,0.626722222222222,0.791657894688244
"12","Jelcic et al., 2019",3,5.91,4.15,3.3,2.49,-2.61,7.80753333333334,2.79419636628018
"13","Mao et al., 2019",7,3.07,2.8,0.16,0.42,-2.91,1.1452,1.07014017773374
"14","Loos et al., 2020",6,0,0,0.04,0.1,0.04,0.00166666666666667,0.0408248290463863
"15","Narayan et al., 2019",2,0.75,0.35,0,0,-0.75,0.06125,0.247487373415292
"16","Ramanathan et al., 2018",6,1.72,1.21,0.45,0.48,-1.27,0.282416666666667,0.531428891448956
"18","Whittam et al., 2020",101,1.99,1.97,0.42,0.93,-1.57,0.0469881188118812,0.216767430237758
"19","Zhou et al., 2019",8,1.78,1.14,0.95,1.03,-0.83,0.2950625,0.543196557426499
